epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,23352,0.78691,0.57617,1.00437,0.84757,0.85348,0.89236,0.69232,0.79983,0.61891,0.99205,0.0084358,0.0084358,0.0084358
81,23648.6,0.78906,0.57699,1.00483,0.83999,0.86117,0.89261,0.69241,0.79933,0.61914,0.99192,0.008416,0.008416,0.008416
82,23947.1,0.78654,0.57271,1.00292,0.84175,0.85889,0.89245,0.69178,0.79922,0.61984,0.99218,0.0083962,0.0083962,0.0083962
83,24238.8,0.78517,0.57276,1.00179,0.84902,0.85019,0.89167,0.69122,0.79912,0.62107,0.99249,0.0083764,0.0083764,0.0083764
84,24529.6,0.78865,0.57585,1.00643,0.84735,0.85062,0.89121,0.69087,0.79933,0.62129,0.99279,0.0083566,0.0083566,0.0083566
85,24821.8,0.78228,0.57217,1.00368,0.84745,0.85162,0.8911,0.69078,0.7996,0.62091,0.99284,0.0083368,0.0083368,0.0083368
86,25114.7,0.77904,0.568,1.0001,0.84821,0.85052,0.8908,0.69103,0.80035,0.62072,0.99312,0.008317,0.008317,0.008317
87,25407.9,0.77917,0.56905,1.00034,0.84631,0.8522,0.89132,0.69123,0.80042,0.62103,0.99291,0.0082972,0.0082972,0.0082972
88,25710.8,0.7853,0.5722,1.00407,0.84569,0.85458,0.89122,0.6907,0.80065,0.621,0.99296,0.0082774,0.0082774,0.0082774
89,26005.6,0.77991,0.56778,1.00248,0.83325,0.86421,0.89081,0.69046,0.8003,0.62123,0.99205,0.0082576,0.0082576,0.0082576
90,26294.1,0.77942,0.57123,1.0031,0.84241,0.85388,0.8908,0.69103,0.80026,0.62141,0.99212,0.0082378,0.0082378,0.0082378
91,26584.4,0.77767,0.56369,1.00061,0.8451,0.85088,0.89055,0.69097,0.8004,0.62223,0.99217,0.008218,0.008218,0.008218
92,26873.6,0.77621,0.56227,1.00106,0.8457,0.85043,0.89012,0.69052,0.80054,0.62328,0.99222,0.0081982,0.0081982,0.0081982
93,27162.8,0.77802,0.56531,1.00147,0.84991,0.84707,0.88969,0.69021,0.8007,0.62338,0.99225,0.0081784,0.0081784,0.0081784
94,27455.2,0.7744,0.56239,0.99965,0.85229,0.84466,0.88986,0.68955,0.80106,0.62443,0.99271,0.0081586,0.0081586,0.0081586
95,27748,0.77376,0.56298,1.00004,0.85182,0.84657,0.88977,0.68947,0.80175,0.62502,0.99301,0.0081388,0.0081388,0.0081388
96,28038.6,0.7698,0.56057,0.99742,0.8514,0.84762,0.88934,0.68956,0.80163,0.62571,0.99286,0.008119,0.008119,0.008119
